id,num_tournaments,total_players,name,avg_players_per_tournament
108387,2259,10399,Person ID 108387,4.60
102198,785,11429,Person ID 102198,14.56
108715,676,14467,Person ID 108715,21.40
100145,524,6467,Person ID 100145,12.34
127778,492,6724,Person ID 127778,13.67
106856,488,9587,Person ID 106856,19.65
100317,432,9934,Person ID 100317,23.00
110253,421,2421,Person ID 110253,5.75
106974,419,9614,Person ID 106974,22.95
109477,404,4984,Person ID 109477,12.34
111830,384,7423,Person ID 111830,19.33
108202,372,8513,Person ID 108202,22.88
102743,371,4027,Person ID 102743,10.85
135072,353,5468,Person ID 135072,15.49
109502,345,5346,Person ID 109502,15.50
127489,304,5183,Person ID 127489,17.05
152905,276,3353,Person ID 152905,12.15
130181,267,9033,Person ID 130181,33.83
133671,259,3413,Person ID 133671,13.18
121329,253,7441,Person ID 121329,29.41
107391,251,6878,Person ID 107391,27.40
125681,236,4861,Person ID 125681,20.60
151773,218,14069,Person ID 151773,64.54
103802,216,1825,Person ID 103802,8.45
127516,215,5778,Person ID 127516,26.87
107847,213,3591,Person ID 107847,16.86
106868,203,3623,Person ID 106868,17.85
106295,200,3515,Person ID 106295,17.57
148196,185,5238,Person ID 148196,28.31
142366,184,2592,Person ID 142366,14.09
149964,183,2474,Person ID 149964,13.52
101768,178,2227,Person ID 101768,12.51
102718,175,1426,Person ID 102718,8.15
108098,172,5680,Person ID 108098,33.02
101126,170,2828,Person ID 101126,16.64
102646,156,3141,Person ID 102646,20.13
128173,152,1647,Person ID 128173,10.84
106389,150,2602,Person ID 106389,17.35
162989,150,2129,Person ID 162989,14.19
134840,148,893,Person ID 134840,6.03
135360,144,3363,Person ID 135360,23.35
106340,137,1502,Person ID 106340,10.96
100205,124,2157,Person ID 100205,17.40
147050,118,3557,Person ID 147050,30.14
128388,115,3138,Person ID 128388,27.29
102882,114,538,Person ID 102882,4.72
161759,109,1379,Person ID 161759,12.65
149970,109,267,Person ID 149970,2.45
101613,108,2671,Person ID 101613,24.73
120416,107,1404,Person ID 120416,13.12
104137,105,1748,Person ID 104137,16.65
134227,102,2738,Person ID 134227,26.84
107766,102,1552,Person ID 107766,15.22
107184,102,1228,Person ID 107184,12.04
111363,99,1323,Person ID 111363,13.36
105731,98,1105,Person ID 105731,11.28
107872,95,1547,Person ID 107872,16.28
140705,95,1478,Person ID 140705,15.56
144013,94,1775,Person ID 144013,18.88
102713,93,1927,Person ID 102713,20.72
131213,92,649,Person ID 131213,7.05
144016,91,732,Person ID 144016,8.04
152691,90,461,Person ID 152691,5.12
111760,89,1016,Person ID 111760,11.42
103841,88,1765,Person ID 103841,20.06
107301,87,2129,Person ID 107301,24.47
110803,87,1198,Person ID 110803,13.77
101588,87,632,Person ID 101588,7.26
101495,86,1051,Person ID 101495,12.22
102868,83,833,Person ID 102868,10.04
103179,82,1879,Person ID 103179,22.91
160222,82,1561,Person ID 160222,19.04
145502,82,1034,Person ID 145502,12.61
105964,82,701,Person ID 105964,8.55
156393,79,1101,Person ID 156393,13.94
143315,78,2090,Person ID 143315,26.79
167627,77,1457,Person ID 167627,18.92
100314,77,1410,Person ID 100314,18.31
135013,77,586,Person ID 135013,7.61
106424,76,947,Person ID 106424,12.46
108844,76,441,Person ID 108844,5.80
110646,74,1132,Person ID 110646,15.30
106687,72,1019,Person ID 106687,14.15
109003,72,660,Person ID 109003,9.17
160251,71,2031,Person ID 160251,28.61
106693,70,2352,Person ID 106693,33.60
109393,70,963,Person ID 109393,13.76
150532,69,1127,Person ID 150532,16.33
100238,69,1019,Person ID 100238,14.77
131965,67,497,Person ID 131965,7.42
110490,65,1884,Person ID 110490,28.98
100355,65,641,Person ID 100355,9.86
134704,63,1734,Person ID 134704,27.52
130308,63,1729,Person ID 130308,27.44
102011,63,1698,Person ID 102011,26.95
103074,63,869,Person ID 103074,13.79
153005,61,1443,Person ID 153005,23.66
106376,61,850,Person ID 106376,13.93
100253,61,804,Person ID 100253,13.18
147889,60,543,Person ID 147889,9.05
106052,58,740,Person ID 106052,12.76
121367,58,708,Person ID 121367,12.21
101735,58,633,Person ID 101735,10.91
140163,58,266,Person ID 140163,4.59
103373,57,363,Person ID 103373,6.37
105606,56,481,Person ID 105606,8.59
109746,55,1824,Person ID 109746,33.16
121684,55,730,Person ID 121684,13.27
108689,54,791,Person ID 108689,14.65
103904,54,491,Person ID 103904,9.09
104754,53,754,Person ID 104754,14.23
123257,53,690,Person ID 123257,13.02
162159,53,687,Person ID 162159,12.96
101072,53,682,Person ID 101072,12.87
109445,53,478,Person ID 109445,9.02
167885,52,1415,Person ID 167885,27.21
172995,51,1046,Person ID 172995,20.51
135185,51,937,Person ID 135185,18.37
126311,51,307,Person ID 126311,6.02
154251,51,293,Person ID 154251,5.75
103040,49,733,Person ID 103040,14.96
184666,49,451,Person ID 184666,9.20
120619,48,746,Person ID 120619,15.54
102686,47,1244,Person ID 102686,26.47
102330,47,759,Person ID 102330,16.15
106863,46,566,Person ID 106863,12.30
121063,46,562,Person ID 121063,12.22
126146,45,1133,Person ID 126146,25.18
109925,45,567,Person ID 109925,12.60
145711,45,342,Person ID 145711,7.60
127485,44,901,Person ID 127485,20.48
139674,44,866,Person ID 139674,19.68
111251,44,639,Person ID 111251,14.52
135000,44,461,Person ID 135000,10.48
100223,44,332,Person ID 100223,7.55
128005,44,320,Person ID 128005,7.27
104462,43,546,Person ID 104462,12.70
128800,42,817,Person ID 128800,19.45
106266,42,651,Person ID 106266,15.50
148040,41,864,Person ID 148040,21.07
148745,41,432,Person ID 148745,10.54
100319,40,983,Person ID 100319,24.57
102345,40,810,Person ID 102345,20.25
105108,39,367,Person ID 105108,9.41
105611,38,642,Person ID 105611,16.89
110299,38,588,Person ID 110299,15.47
172302,38,478,Person ID 172302,12.58
176962,37,1253,Person ID 176962,33.86
103023,37,362,Person ID 103023,9.78
111002,36,720,Person ID 111002,20.00
130336,36,218,Person ID 130336,6.06
135217,35,403,Person ID 135217,11.51
125727,35,305,Person ID 125727,8.71
122426,35,238,Person ID 122426,6.80
122967,35,220,Person ID 122967,6.29
105141,34,809,Person ID 105141,23.79
121276,34,631,Person ID 121276,18.56
106574,34,341,Person ID 106574,10.03
139554,33,386,Person ID 139554,11.70
177185,32,1049,Person ID 177185,32.78
131928,32,897,Person ID 131928,28.03
103309,32,709,Person ID 103309,22.16
106007,32,693,Person ID 106007,21.66
130347,32,675,Person ID 130347,21.09
132393,32,617,Person ID 132393,19.28
173943,31,957,Person ID 173943,30.87
162657,31,618,Person ID 162657,19.94
126660,31,454,Person ID 126660,14.65
105738,30,834,Person ID 105738,27.80
143038,30,679,Person ID 143038,22.63
148100,30,634,Person ID 148100,21.13
136791,30,474,Person ID 136791,15.80
107763,30,405,Person ID 107763,13.50
127777,30,354,Person ID 127777,11.80
123727,30,304,Person ID 123727,10.13
101750,30,301,Person ID 101750,10.03
134499,30,115,Person ID 134499,3.83
133579,29,1278,Person ID 133579,44.07
169229,29,1206,Person ID 169229,41.59
103050,29,1072,Person ID 103050,36.97
150533,29,994,Person ID 150533,34.28
132113,29,655,Person ID 132113,22.59
153540,29,564,Person ID 153540,19.45
184595,29,408,Person ID 184595,14.07
155325,29,264,Person ID 155325,9.10
166965,28,452,Person ID 166965,16.14
100298,28,437,Person ID 100298,15.61
163264,28,436,Person ID 163264,15.57
104911,28,266,Person ID 104911,9.50
149124,27,555,Person ID 149124,20.56
107269,27,365,Person ID 107269,13.52
163561,26,920,Person ID 163561,35.38
104844,26,889,Person ID 104844,34.19
101034,26,495,Person ID 101034,19.04
178945,26,421,Person ID 178945,16.19
100331,26,375,Person ID 100331,14.42
105142,26,346,Person ID 105142,13.31
137228,26,310,Person ID 137228,11.92
105433,26,306,Person ID 105433,11.77
106619,26,302,Person ID 106619,11.62
107355,26,287,Person ID 107355,11.04
107764,26,246,Person ID 107764,9.46
157008,25,572,Person ID 157008,22.88
167770,25,549,Person ID 167770,21.96
172253,25,492,Person ID 172253,19.68
126735,25,310,Person ID 126735,12.40
106527,25,219,Person ID 106527,8.76
126201,25,129,Person ID 126201,5.16
103011,24,726,Person ID 103011,30.25
123360,24,498,Person ID 123360,20.75
167893,24,322,Person ID 167893,13.42
103595,24,242,Person ID 103595,10.08
154197,24,158,Person ID 154197,6.58
112426,23,399,Person ID 112426,17.35
105767,23,354,Person ID 105767,15.39
103754,23,301,Person ID 103754,13.09
104728,23,287,Person ID 104728,12.48
125730,23,262,Person ID 125730,11.39
108727,23,229,Person ID 108727,9.96
112095,23,199,Person ID 112095,8.65
172572,23,155,Person ID 172572,6.74
162500,23,98,Person ID 162500,4.26
178112,22,716,Person ID 178112,32.55
170819,22,673,Person ID 170819,30.59
147732,22,580,Person ID 147732,26.36
108124,22,336,Person ID 108124,15.27
102934,22,305,Person ID 102934,13.86
132339,22,301,Person ID 132339,13.68
124047,22,274,Person ID 124047,12.45
100040,21,928,Person ID 100040,44.19
110949,21,744,Person ID 110949,35.43
152937,21,678,Person ID 152937,32.29
155324,21,579,Person ID 155324,27.57
184829,21,510,Person ID 184829,24.29
151235,21,389,Person ID 151235,18.52
100070,21,324,Person ID 100070,15.43
152648,21,258,Person ID 152648,12.29
151203,21,257,Person ID 151203,12.24
103047,21,213,Person ID 103047,10.14
108323,21,209,Person ID 108323,9.95
111065,21,179,Person ID 111065,8.52
142946,21,138,Person ID 142946,6.57
111555,21,131,Person ID 111555,6.24
101193,21,93,Person ID 101193,4.43
161221,20,634,Person ID 161221,31.70
172016,20,492,Person ID 172016,24.60
141376,20,330,Person ID 141376,16.50
101770,20,313,Person ID 101770,15.65
142224,20,251,Person ID 142224,12.55
129817,20,238,Person ID 129817,11.90
149130,20,231,Person ID 149130,11.55
110942,20,218,Person ID 110942,10.90
123180,20,125,Person ID 123180,6.25
140557,19,624,Person ID 140557,32.84
100276,19,534,Person ID 100276,28.11
104172,19,514,Person ID 104172,27.05
106629,19,374,Person ID 106629,19.68
108267,19,307,Person ID 108267,16.16
162803,19,257,Person ID 162803,13.53
128144,19,255,Person ID 128144,13.42
104793,19,249,Person ID 104793,13.11
101173,19,242,Person ID 101173,12.74
107069,19,215,Person ID 107069,11.32
100234,19,195,Person ID 100234,10.26
181013,19,133,Person ID 181013,7.00
112806,19,127,Person ID 112806,6.68
112276,19,116,Person ID 112276,6.11
109034,18,335,Person ID 109034,18.61
105934,18,299,Person ID 105934,16.61
131628,18,290,Person ID 131628,16.11
145882,18,198,Person ID 145882,11.00
103718,18,155,Person ID 103718,8.61
103516,18,113,Person ID 103516,6.28
102523,17,720,Person ID 102523,42.35
173027,17,447,Person ID 173027,26.29
103280,17,407,Person ID 103280,23.94
108992,17,261,Person ID 108992,15.35
161893,17,233,Person ID 161893,13.71
133114,17,226,Person ID 133114,13.29
154795,17,157,Person ID 154795,9.24
158037,17,152,Person ID 158037,8.94
107158,17,129,Person ID 107158,7.59
102670,16,484,Person ID 102670,30.25
184340,16,469,Person ID 184340,29.31
183921,16,467,Person ID 183921,29.19
162452,16,338,Person ID 162452,21.13
105650,16,308,Person ID 105650,19.25
146926,16,306,Person ID 146926,19.13
189898,16,183,Person ID 189898,11.44
105982,16,165,Person ID 105982,10.31
110779,16,162,Person ID 110779,10.13
109876,16,129,Person ID 109876,8.06
151151,16,126,Person ID 151151,7.88
134987,16,111,Person ID 134987,6.94
103427,15,707,Person ID 103427,47.13
104186,15,319,Person ID 104186,21.27
100055,15,302,Person ID 100055,20.13
137841,15,281,Person ID 137841,18.73
164931,15,264,Person ID 164931,17.60
172646,15,216,Person ID 172646,14.40
100182,15,199,Person ID 100182,13.27
122954,15,178,Person ID 122954,11.87
160509,15,169,Person ID 160509,11.27
182519,15,128,Person ID 182519,8.53
158604,14,663,Person ID 158604,47.36
120472,14,386,Person ID 120472,27.57
167771,14,317,Person ID 167771,22.64
109618,14,255,Person ID 109618,18.21
173532,14,230,Person ID 173532,16.43
151916,14,227,Person ID 151916,16.21
100135,14,195,Person ID 100135,13.93
103353,14,195,Person ID 103353,13.93
105393,14,173,Person ID 105393,12.36
147647,14,170,Person ID 147647,12.14
149297,14,148,Person ID 149297,10.57
130073,14,132,Person ID 130073,9.43
112769,14,128,Person ID 112769,9.14
111232,14,126,Person ID 111232,9.00
103305,14,121,Person ID 103305,8.64
100349,14,115,Person ID 100349,8.21
103015,14,80,Person ID 103015,5.71
108103,14,52,Person ID 108103,3.71
104341,14,45,Person ID 104341,3.21
132864,13,193,Person ID 132864,14.85
106245,13,186,Person ID 106245,14.31
145597,13,171,Person ID 145597,13.15
189889,13,159,Person ID 189889,12.23
100336,13,145,Person ID 100336,11.15
102232,13,138,Person ID 102232,10.62
152240,13,132,Person ID 152240,10.15
102617,13,130,Person ID 102617,10.00
160986,13,116,Person ID 160986,8.92
138562,13,59,Person ID 138562,4.54
100207,12,451,Person ID 100207,37.58
100046,12,421,Person ID 100046,35.08
175381,12,321,Person ID 175381,26.75
105416,12,299,Person ID 105416,24.92
107001,12,286,Person ID 107001,23.83
162670,12,253,Person ID 162670,21.08
101501,12,206,Person ID 101501,17.17
120767,12,181,Person ID 120767,15.08
128828,12,155,Person ID 128828,12.92
127461,12,152,Person ID 127461,12.67
110780,12,131,Person ID 110780,10.92
108718,12,125,Person ID 108718,10.42
108406,12,122,Person ID 108406,10.17
102237,12,110,Person ID 102237,9.17
127517,12,87,Person ID 127517,7.25
131331,12,64,Person ID 131331,5.33
102214,12,47,Person ID 102214,3.92
101743,12,35,Person ID 101743,2.92
167772,11,296,Person ID 167772,26.91
137876,11,224,Person ID 137876,20.36
103043,11,222,Person ID 103043,20.18
125775,11,191,Person ID 125775,17.36
100338,11,182,Person ID 100338,16.55
104469,11,174,Person ID 104469,15.82
128146,11,172,Person ID 128146,15.64
128141,11,169,Person ID 128141,15.36
171300,11,139,Person ID 171300,12.64
155224,11,130,Person ID 155224,11.82
111614,11,122,Person ID 111614,11.09
151005,11,112,Person ID 151005,10.18
166573,11,110,Person ID 166573,10.00
180894,11,106,Person ID 180894,9.64
161124,11,89,Person ID 161124,8.09
135268,11,80,Person ID 135268,7.27
104797,11,73,Person ID 104797,6.64
100252,11,66,Person ID 100252,6.00
152936,10,425,Person ID 152936,42.50
156474,10,412,Person ID 156474,41.20
170478,10,328,Person ID 170478,32.80
107545,10,308,Person ID 107545,30.80
110115,10,258,Person ID 110115,25.80
106488,10,187,Person ID 106488,18.70
111178,10,135,Person ID 111178,13.50
111989,10,122,Person ID 111989,12.20
143057,10,98,Person ID 143057,9.80
111929,10,79,Person ID 111929,7.90
133977,10,79,Person ID 133977,7.90
100221,10,77,Person ID 100221,7.70
110732,10,76,Person ID 110732,7.60
120411,10,74,Person ID 120411,7.40
131279,10,68,Person ID 131279,6.80
129668,10,50,Person ID 129668,5.00
112308,10,37,Person ID 112308,3.70
112567,10,20,Person ID 112567,2.00
126691,9,223,Person ID 126691,24.78
132741,9,210,Person ID 132741,23.33
145479,9,196,Person ID 145479,21.78
130962,9,191,Person ID 130962,21.22
127550,9,185,Person ID 127550,20.56
108832,9,168,Person ID 108832,18.67
185558,9,139,Person ID 185558,15.44
192079,9,136,Person ID 192079,15.11
127769,9,122,Person ID 127769,13.56
105907,9,110,Person ID 105907,12.22
110285,9,109,Person ID 110285,12.11
141956,9,95,Person ID 141956,10.56
107688,9,88,Person ID 107688,9.78
132423,9,86,Person ID 132423,9.56
150799,9,85,Person ID 150799,9.44
147673,9,79,Person ID 147673,8.78
105206,9,76,Person ID 105206,8.44
113017,9,72,Person ID 113017,8.00
106109,9,71,Person ID 106109,7.89
100353,9,70,Person ID 100353,7.78
101203,9,58,Person ID 101203,6.44
131284,9,58,Person ID 131284,6.44
104596,9,56,Person ID 104596,6.22
153014,8,330,Person ID 153014,41.25
178080,8,236,Person ID 178080,29.50
190140,8,199,Person ID 190140,24.88
127519,8,190,Person ID 127519,23.75
100934,8,185,Person ID 100934,23.13
141086,8,133,Person ID 141086,16.63
163192,8,130,Person ID 163192,16.25
144425,8,108,Person ID 144425,13.50
127161,8,102,Person ID 127161,12.75
106289,8,61,Person ID 106289,7.63
110941,8,60,Person ID 110941,7.50
106493,8,57,Person ID 106493,7.13
102671,8,55,Person ID 102671,6.88
137889,8,43,Person ID 137889,5.38
103999,8,39,Person ID 103999,4.88
130125,8,35,Person ID 130125,4.38
152871,7,423,Person ID 152871,60.43
110641,7,258,Person ID 110641,36.86
104143,7,215,Person ID 104143,30.71
109109,7,214,Person ID 109109,30.57
106711,7,201,Person ID 106711,28.71
186840,7,178,Person ID 186840,25.43
137101,7,176,Person ID 137101,25.14
170035,7,159,Person ID 170035,22.71
154453,7,147,Person ID 154453,21.00
106287,7,139,Person ID 106287,19.86
121625,7,138,Person ID 121625,19.71
106554,7,120,Person ID 106554,17.14
187033,7,119,Person ID 187033,17.00
159603,7,115,Person ID 159603,16.43
185269,7,100,Person ID 185269,14.29
134433,7,97,Person ID 134433,13.86
170927,7,96,Person ID 170927,13.71
100117,7,81,Person ID 100117,11.57
106380,7,78,Person ID 106380,11.14
100195,7,77,Person ID 100195,11.00
110778,7,69,Person ID 110778,9.86
163238,7,68,Person ID 163238,9.71
140627,7,61,Person ID 140627,8.71
112863,7,46,Person ID 112863,6.57
108989,7,31,Person ID 108989,4.43
160333,6,427,Person ID 160333,71.17
100283,6,323,Person ID 100283,53.83
156155,6,298,Person ID 156155,49.67
184704,6,241,Person ID 184704,40.17
134277,6,234,Person ID 134277,39.00
162458,6,227,Person ID 162458,37.83
190104,6,150,Person ID 190104,25.00
151138,6,140,Person ID 151138,23.33
139695,6,136,Person ID 139695,22.67
100316,6,135,Person ID 100316,22.50
152913,6,124,Person ID 152913,20.67
135341,6,112,Person ID 135341,18.67
146267,6,105,Person ID 146267,17.50
105644,6,100,Person ID 105644,16.67
123041,6,100,Person ID 123041,16.67
187032,6,99,Person ID 187032,16.50
136913,6,96,Person ID 136913,16.00
157753,6,95,Person ID 157753,15.83
165770,6,90,Person ID 165770,15.00
102424,6,84,Person ID 102424,14.00
109456,6,84,Person ID 109456,14.00
103801,6,82,Person ID 103801,13.67
109017,6,82,Person ID 109017,13.67
129946,6,81,Person ID 129946,13.50
102717,6,75,Person ID 102717,12.50
141224,6,75,Person ID 141224,12.50
102582,6,70,Person ID 102582,11.67
111334,6,68,Person ID 111334,11.33
170726,6,67,Person ID 170726,11.17
102378,6,66,Person ID 102378,11.00
135747,6,66,Person ID 135747,11.00
154889,6,60,Person ID 154889,10.00
108248,6,55,Person ID 108248,9.17
106788,6,54,Person ID 106788,9.00
103901,6,51,Person ID 103901,8.50
108039,6,50,Person ID 108039,8.33
109412,6,49,Person ID 109412,8.17
123875,6,47,Person ID 123875,7.83
148282,6,46,Person ID 148282,7.67
112471,6,40,Person ID 112471,6.67
123322,6,39,Person ID 123322,6.50
129419,6,39,Person ID 129419,6.50
109975,6,37,Person ID 109975,6.17
102539,6,36,Person ID 102539,6.00
110140,6,32,Person ID 110140,5.33
100126,6,28,Person ID 100126,4.67
107575,6,26,Person ID 107575,4.33
112737,6,25,Person ID 112737,4.17
102805,6,22,Person ID 102805,3.67
173026,5,248,Person ID 173026,49.60
106342,5,217,Person ID 106342,43.40
102681,5,215,Person ID 102681,43.00
158338,5,213,Person ID 158338,42.60
109633,5,181,Person ID 109633,36.20
157731,5,137,Person ID 157731,27.40
101241,5,122,Person ID 101241,24.40
101459,5,114,Person ID 101459,22.80
100925,5,108,Person ID 100925,21.60
112361,5,104,Person ID 112361,20.80
106633,5,103,Person ID 106633,20.60
157720,5,102,Person ID 157720,20.40
100337,5,99,Person ID 100337,19.80
104319,5,99,Person ID 104319,19.80
169252,5,99,Person ID 169252,19.80
150763,5,97,Person ID 150763,19.40
160233,5,96,Person ID 160233,19.20
108919,5,94,Person ID 108919,18.80
100991,5,92,Person ID 100991,18.40
108446,5,84,Person ID 108446,16.80
111135,5,77,Person ID 111135,15.40
128107,5,74,Person ID 128107,14.80
172014,5,74,Person ID 172014,14.80
127540,5,73,Person ID 127540,14.60
184609,5,73,Person ID 184609,14.60
122106,5,72,Person ID 122106,14.40
165179,5,70,Person ID 165179,14.00
110040,5,69,Person ID 110040,13.80
152636,5,67,Person ID 152636,13.40
